Motor_Front,Motor_Rear,type_batt,vmax,tm,grade,mile,rank,fuel
Motor_Pe_50,Motor_Pe_70,BATT_88,154,6.45106173730289,0.424474816209605,734.334569444445,1,17.1490471064389
Motor_Pe_50,Motor_Pe_80,BATT_77,133,5.99563515548253,0.445228685308536,643.511819444445,6,16.6342419722536
Motor_Pe_60,Motor_Pe_80,BATT_525,133,5.52509822650575,0.509525449494429,435.639583333333,12,20.0984872900678
