type_Motor,type_Batt,vmax,tm,grade,mile,Cal_E,time,Rank
Motor_Pe_70,BATT_88,165,10.3011029239692,0.263141141799651,744.537013888889,17.0911081302125,0.2739587,2
Motor_Pe_70,BATT_77,165,10.3011029239692,0.263141141799651,651.471902777778,17.0911081302125,0.2660245,3
Motor_Pe_80,BATT_885,134,9.15678813939098,0.28176431447353,749.314958333333,17.6454506161716,0.2554001,4
Motor_Pe_80,BATT_88,134,9.15678813939098,0.28176431447353,744.537013888889,17.6454506161716,0.2482148,5
