type_Motor,type_Batt,vmax,tm,grade,mile,rank
Motor_Pe_70,BATT_5023,165,10.3011029239692,0.263141141799651,424.903305555556,1
Motor_Pe_80,BATT_5023,134,9.15678813939098,0.28176431447353,424.903305555556,2
